2026-04-12 16:39:49  ============================================================
2026-04-12 16:39:49    COLLISION LOG — session started
2026-04-12 16:39:49  ============================================================
2026-04-12 16:41:22  ============================================================
2026-04-12 16:41:22    COLLISION LOG — session started
2026-04-12 16:41:22  ============================================================
2026-04-12 16:41:27  ============================================================
2026-04-12 16:41:27    COLLISION LOG — session started
2026-04-12 16:41:27  ============================================================
2026-04-12 16:41:47  ============================================================
2026-04-12 16:41:47    COLLISION LOG — session started
2026-04-12 16:41:47  ============================================================
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 4(bus) & 10(bus) | Lane: unknown | IoU: 0.684 | Closing speed: 43.6px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 4(bus) & 17(bus) | Lane: unknown | IoU: 0.158 | Closing speed: 81.3px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 9(bus) & 10(bus) | Lane: top_road | IoU: 0.524 | Closing speed: 96.9px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 9(bus) & 11(bus) | Lane: top_road | IoU: 0.443 | Closing speed: 64.2px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 10(bus) & 17(bus) | Lane: unknown | IoU: 0.214 | Closing speed: 43.7px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 11(bus) & 17(bus) | Lane: unknown | IoU: 0.180 | Closing speed: 69.3px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    48 | Vehicles 16(car) & 17(bus) | Lane: right_road | IoU: 0.156 | Closing speed: 47.7px/frame
2026-04-12 16:48:59  [ACCIDENT] Frame    51 | Vehicles 10(bus) & 11(bus) | Lane: unknown | IoU: 0.697 | Closing speed: 39.5px/frame
2026-04-12 16:49:03  ────────────────────────────────────────────────────────────
2026-04-12 16:49:03    Session ended — 57 collision(s) detected
2026-04-12 16:49:03  ────────────────────────────────────────────────────────────
2026-04-12 16:51:17  ============================================================
2026-04-12 16:51:17    COLLISION LOG — session started
2026-04-12 16:51:17  ============================================================
2026-04-12 16:51:22  [ACCIDENT] Frame     6 | Vehicles 0(bus) & 2(bus) | Lane: top_road | IoU: 0.153 | Closing speed: 27.2px/frame
2026-04-12 16:51:22  [ACCIDENT] Frame    15 | Vehicles 0(bus) & 12(bus) | Lane: right_road | IoU: 0.326 | Closing speed: 31.2px/frame
2026-04-12 16:51:22  [ACCIDENT] Frame    15 | Vehicles 1(car) & 11(bus) | Lane: unknown | IoU: 0.227 | Closing speed: 39.8px/frame
2026-04-12 16:51:22  [ACCIDENT] Frame    15 | Vehicles 5(truck) & 6(bus) | Lane: left_road | IoU: 0.991 | Closing speed: 24.6px/frame
2026-04-12 16:51:22  [ACCIDENT] Frame    15 | Vehicles 7(bus) & 12(bus) | Lane: right_road | IoU: 0.373 | Closing speed: 70.5px/frame
2026-04-12 16:51:22  [ACCIDENT] Frame    15 | Vehicles 10(truck) & 11(bus) | Lane: unknown | IoU: 0.225 | Closing speed: 40.6px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    18 | Vehicles 2(truck) & 16(bus) | Lane: right_road | IoU: 0.764 | Closing speed: 28.9px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 2(truck) & 8(bus) | Lane: right_road | IoU: 0.318 | Closing speed: 53.0px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 3(car) & 7(bus) | Lane: right_road | IoU: 0.153 | Closing speed: 57.4px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 8(bus) & 13(bus) | Lane: unknown | IoU: 0.383 | Closing speed: 51.8px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 8(bus) & 16(bus) | Lane: unknown | IoU: 0.448 | Closing speed: 22.9px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 8(bus) & 17(bus) | Lane: unknown | IoU: 0.356 | Closing speed: 73.6px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 13(bus) & 16(bus) | Lane: bottom_road | IoU: 0.169 | Closing speed: 33.4px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    21 | Vehicles 13(bus) & 17(bus) | Lane: bottom_road | IoU: 0.591 | Closing speed: 97.8px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 0(car) & 16(car) | Lane: right_road | IoU: 0.483 | Closing speed: 31.6px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 1(bus) & 17(bus) | Lane: left_road | IoU: 0.365 | Closing speed: 68.7px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 4(bus) & 9(bus) | Lane: unknown | IoU: 0.675 | Closing speed: 101.2px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 4(bus) & 10(bus) | Lane: unknown | IoU: 0.684 | Closing speed: 43.6px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 4(bus) & 17(bus) | Lane: unknown | IoU: 0.158 | Closing speed: 81.3px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 6(bus) & 11(bus) | Lane: left_road | IoU: 0.157 | Closing speed: 17.1px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 9(bus) & 10(bus) | Lane: top_road | IoU: 0.524 | Closing speed: 96.9px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 9(bus) & 11(bus) | Lane: top_road | IoU: 0.443 | Closing speed: 64.2px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 10(bus) & 17(bus) | Lane: unknown | IoU: 0.214 | Closing speed: 43.7px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 11(bus) & 17(bus) | Lane: unknown | IoU: 0.180 | Closing speed: 69.3px/frame
2026-04-12 16:51:23  [ACCIDENT] Frame    24 | Vehicles 16(car) & 17(bus) | Lane: right_road | IoU: 0.156 | Closing speed: 47.7px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    27 | Vehicles 5(bus) & 6(bus) | Lane: left_road | IoU: 0.946 | Closing speed: 19.0px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    27 | Vehicles 10(bus) & 11(bus) | Lane: unknown | IoU: 0.697 | Closing speed: 39.5px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    33 | Vehicles 2(truck) & 8(car) | Lane: right_road | IoU: 0.165 | Closing speed: 59.4px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    33 | Vehicles 8(car) & 16(car) | Lane: unknown | IoU: 0.483 | Closing speed: 45.6px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    33 | Vehicles 13(bus) & 17(bus) | Lane: bottom_road | IoU: 0.591 | Closing speed: 97.8px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 0(car) & 16(car) | Lane: right_road | IoU: 0.483 | Closing speed: 31.6px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 1(bus) & 17(bus) | Lane: left_road | IoU: 0.365 | Closing speed: 68.7px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 4(bus) & 9(bus) | Lane: unknown | IoU: 0.675 | Closing speed: 101.2px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 4(bus) & 10(bus) | Lane: unknown | IoU: 0.684 | Closing speed: 43.6px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 4(bus) & 17(bus) | Lane: unknown | IoU: 0.158 | Closing speed: 81.3px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 6(bus) & 11(bus) | Lane: left_road | IoU: 0.157 | Closing speed: 17.1px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 9(bus) & 10(bus) | Lane: top_road | IoU: 0.524 | Closing speed: 96.9px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 9(bus) & 11(bus) | Lane: top_road | IoU: 0.443 | Closing speed: 64.2px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 10(bus) & 17(bus) | Lane: unknown | IoU: 0.214 | Closing speed: 43.7px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 11(bus) & 17(bus) | Lane: unknown | IoU: 0.180 | Closing speed: 69.3px/frame
2026-04-12 16:51:24  [ACCIDENT] Frame    36 | Vehicles 16(car) & 17(bus) | Lane: right_road | IoU: 0.156 | Closing speed: 47.7px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    39 | Vehicles 5(bus) & 6(bus) | Lane: left_road | IoU: 0.946 | Closing speed: 19.0px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    39 | Vehicles 10(bus) & 11(bus) | Lane: unknown | IoU: 0.697 | Closing speed: 39.5px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    45 | Vehicles 2(truck) & 8(car) | Lane: right_road | IoU: 0.165 | Closing speed: 59.4px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    45 | Vehicles 8(car) & 16(car) | Lane: unknown | IoU: 0.483 | Closing speed: 45.6px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    45 | Vehicles 13(bus) & 17(bus) | Lane: bottom_road | IoU: 0.591 | Closing speed: 97.8px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 0(car) & 16(car) | Lane: right_road | IoU: 0.483 | Closing speed: 31.6px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 1(bus) & 17(bus) | Lane: left_road | IoU: 0.365 | Closing speed: 68.7px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 4(bus) & 9(bus) | Lane: unknown | IoU: 0.675 | Closing speed: 101.2px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 4(bus) & 10(bus) | Lane: unknown | IoU: 0.684 | Closing speed: 43.6px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 4(bus) & 17(bus) | Lane: unknown | IoU: 0.158 | Closing speed: 81.3px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 9(bus) & 10(bus) | Lane: top_road | IoU: 0.524 | Closing speed: 96.9px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 9(bus) & 11(bus) | Lane: top_road | IoU: 0.443 | Closing speed: 64.2px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 10(bus) & 17(bus) | Lane: unknown | IoU: 0.214 | Closing speed: 43.7px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 11(bus) & 17(bus) | Lane: unknown | IoU: 0.180 | Closing speed: 69.3px/frame
2026-04-12 16:51:25  [ACCIDENT] Frame    48 | Vehicles 16(car) & 17(bus) | Lane: right_road | IoU: 0.156 | Closing speed: 47.7px/frame
2026-04-12 16:51:26  [ACCIDENT] Frame    51 | Vehicles 10(bus) & 11(bus) | Lane: unknown | IoU: 0.697 | Closing speed: 39.5px/frame
2026-04-12 16:51:30  ────────────────────────────────────────────────────────────
2026-04-12 16:51:30    Session ended — 57 collision(s) detected
2026-04-12 16:51:30  ────────────────────────────────────────────────────────────
2026-04-12 17:13:17  ============================================================
2026-04-12 17:13:17    COLLISION LOG — session started
2026-04-12 17:13:17  ============================================================
2026-04-12 17:13:36  ────────────────────────────────────────────────────────────
2026-04-12 17:13:36    Session ended — 0 collision(s) detected
2026-04-12 17:13:36  ────────────────────────────────────────────────────────────
2026-04-12 17:21:24  ============================================================
2026-04-12 17:21:24    COLLISION LOG — session started
2026-04-12 17:21:24  ============================================================
2026-04-12 17:21:31  [ACCIDENT] Frame    51 | Vehicles 0(car) & 2(car) | Lane: bottom_road | IoU: 0.688 | Closing speed: 50.5px/frame
2026-04-12 17:21:31  [ACCIDENT] Frame    51 | Vehicles 5(car) & 6(car) | Lane: unknown | IoU: 0.431 | Closing speed: 33.3px/frame
2026-04-12 17:21:31  [ACCIDENT] Frame    54 | Vehicles 1(car) & 5(car) | Lane: unknown | IoU: 0.368 | Closing speed: 15.7px/frame
2026-04-12 17:21:31  [ACCIDENT] Frame    57 | Vehicles 5(car) & 8(car) | Lane: unknown | IoU: 0.175 | Closing speed: 30.8px/frame
2026-04-12 17:21:32  [ACCIDENT] Frame    63 | Vehicles 5(car) & 6(car) | Lane: unknown | IoU: 0.325 | Closing speed: 32.5px/frame
2026-04-12 17:21:32  [ACCIDENT] Frame    66 | Vehicles 1(car) & 5(car) | Lane: unknown | IoU: 0.368 | Closing speed: 15.7px/frame
2026-04-12 17:21:32  [ACCIDENT] Frame    69 | Vehicles 5(car) & 8(truck) | Lane: unknown | IoU: 0.321 | Closing speed: 36.6px/frame
2026-04-12 17:21:32  [ACCIDENT] Frame    75 | Vehicles 5(car) & 6(car) | Lane: unknown | IoU: 0.325 | Closing speed: 32.5px/frame
2026-04-12 17:21:33  [ACCIDENT] Frame    78 | Vehicles 1(car) & 5(car) | Lane: unknown | IoU: 0.368 | Closing speed: 15.7px/frame
2026-04-12 17:21:33  [ACCIDENT] Frame    81 | Vehicles 5(car) & 8(truck) | Lane: unknown | IoU: 0.321 | Closing speed: 36.6px/frame
2026-04-12 17:21:41  [ACCIDENT] Frame   201 | Vehicles 16(car) & 21(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:21:44  ────────────────────────────────────────────────────────────
2026-04-12 17:21:44    Session ended — 11 collision(s) detected
2026-04-12 17:21:44  ────────────────────────────────────────────────────────────
2026-04-12 17:32:43  ============================================================
2026-04-12 17:32:43    COLLISION LOG — session started
2026-04-12 17:32:43  ============================================================
2026-04-12 17:33:00  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:33:18  ────────────────────────────────────────────────────────────
2026-04-12 17:33:18    Session ended — 1 collision(s) detected
2026-04-12 17:33:18  ────────────────────────────────────────────────────────────
2026-04-12 17:36:26  ============================================================
2026-04-12 17:36:26    COLLISION LOG — session started
2026-04-12 17:36:26  ============================================================
2026-04-12 17:36:43  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:37:00  ────────────────────────────────────────────────────────────
2026-04-12 17:37:00    Session ended — 1 collision(s) detected
2026-04-12 17:37:00  ────────────────────────────────────────────────────────────
2026-04-12 17:46:38  ============================================================
2026-04-12 17:46:38    COLLISION LOG — session started
2026-04-12 17:46:38  ============================================================
2026-04-12 17:46:55  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:47:13  ────────────────────────────────────────────────────────────
2026-04-12 17:47:13    Session ended — 1 collision(s) detected
2026-04-12 17:47:13  ────────────────────────────────────────────────────────────
2026-04-12 17:48:05  ============================================================
2026-04-12 17:48:05    COLLISION LOG — session started
2026-04-12 17:48:05  ============================================================
2026-04-12 17:48:22  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:48:40  ────────────────────────────────────────────────────────────
2026-04-12 17:48:40    Session ended — 1 collision(s) detected
2026-04-12 17:48:40  ────────────────────────────────────────────────────────────
2026-04-12 17:50:42  ============================================================
2026-04-12 17:50:42    COLLISION LOG — session started
2026-04-12 17:50:42  ============================================================
2026-04-12 17:51:02  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:51:21  ────────────────────────────────────────────────────────────
2026-04-12 17:51:21    Session ended — 1 collision(s) detected
2026-04-12 17:51:21  ────────────────────────────────────────────────────────────
2026-04-12 17:53:38  ============================================================
2026-04-12 17:53:38    COLLISION LOG — session started
2026-04-12 17:53:38  ============================================================
2026-04-12 17:53:57  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:54:16  ────────────────────────────────────────────────────────────
2026-04-12 17:54:16    Session ended — 1 collision(s) detected
2026-04-12 17:54:16  ────────────────────────────────────────────────────────────
2026-04-12 17:54:44  ============================================================
2026-04-12 17:54:44    COLLISION LOG — session started
2026-04-12 17:54:44  ============================================================
2026-04-12 17:55:01  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 17:55:18  ────────────────────────────────────────────────────────────
2026-04-12 17:55:18    Session ended — 1 collision(s) detected
2026-04-12 17:55:18  ────────────────────────────────────────────────────────────
2026-04-12 18:01:46  ============================================================
2026-04-12 18:01:46    COLLISION LOG — session started
2026-04-12 18:01:46  ============================================================
2026-04-12 18:02:02  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 18:02:19  ────────────────────────────────────────────────────────────
2026-04-12 18:02:19    Session ended — 1 collision(s) detected
2026-04-12 18:02:19  ────────────────────────────────────────────────────────────
2026-04-12 18:05:04  ============================================================
2026-04-12 18:05:04    COLLISION LOG — session started
2026-04-12 18:05:04  ============================================================
2026-04-12 18:05:10  ────────────────────────────────────────────────────────────
2026-04-12 18:05:10    Session ended — 0 collision(s) detected
2026-04-12 18:05:10  ────────────────────────────────────────────────────────────
2026-04-12 18:10:04  ============================================================
2026-04-12 18:10:04    COLLISION LOG — session started
2026-04-12 18:10:04  ============================================================
2026-04-12 18:10:20  [ACCIDENT] Frame   201 | Vehicles 10(car) & 15(truck) | Lane: unknown | IoU: 0.945 | Closing speed: 76.8px/frame
2026-04-12 18:10:37  ────────────────────────────────────────────────────────────
2026-04-12 18:10:37    Session ended — 1 collision(s) detected
2026-04-12 18:10:37  ────────────────────────────────────────────────────────────
